Country Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Antigua and Barbuda;;;;;;;;;;;;;;;;;;1063.4201130804904;1198.507082719619;1483.5159798031086;1789.5895677818826;2023.39994991844;2268.789977588012;2542.5272702174952;2946.2403938049047;3452.522511907453;4220.961620545977;4969.781882995827;5944.670892969379;6585.8402416104245;6889.004948933579;7156.853422873302;7296.551772665002;7652.102973744999;8218.597478946898;7841.464034294689;8379.57673916578;8755.156499454728;9115.234531722741;9363.186639854404;9932.029787731835;9414.160612991984;9443.063702192443;9801.967066215058;10419.31119512501;11452.738802015574;12812.764470431606;14350.919045899403;14797.368423160502;13082.28165973862;12174.697859457156;11931.2041070835;12517.557929091658;12194.60876070706;12946.986936367472;13659.147914264353;14462.176279465779;15021.738183307407
Australia;1807.349784070224;1874.3047677029253;1851.4248162113165;1963.6390786575573;2127.566901593953;2277.0666755097973;2339.861937764229;2575.620077330109;2719.429797122424;2986.2188893331554;3299.037296645517;3489.086601295405;3942.812419544392;4762.47930449704;6471.554164831258;6992.538975362106;7474.862358484762;7763.130771954408;8239.95482475188;9279.25359480482;10191.816060433472;11830.865317835236;12763.323606396923;11515.806465883885;12428.857933816167;11434.889888360252;11360.52765676495;11623.359670409189;14257.022162372963;17801.26826665856;18214.83698431349;18824.247403828773;18569.768794094318;17633.38138040795;18045.43906043544;20319.630628395567;21861.325509869977;23468.5968306374;21318.96416943181;20521.77757059285;21669.410913093976;19482.567902664687;20074.229312948126;23437.312145432672;30401.554786294415;33961.681801921695;36019.203051187986;40905.47089368447;49535.257873776856;42709.803303478664;51936.888711646105;62411.785447396076;67864.68986246719;67990.29003047975;62327.55593903327;56561.41238180537;49896.68110092457;53799.93808995988
Austria;935.4604268504154;1031.8150043290989;1087.8342434189017;1167.0005324458452;1269.4125828925592;1374.5321398607473;1486.9686060056574;1569.6671828996664;1677.6735280427151;1825.386125521236;2058.769079226071;2380.9784433324617;2924.0488711005714;3890.7224564763396;4630.757207067104;5285.620724141213;5678.386637822733;6810.6277286986;8205.468927028225;9793.76530724628;10869.54642360994;9385.24901832146;9410.347224579853;9537.407430564135;8991.065076010165;9172.096768809759;13083.072697824255;16392.769566581264;17578.618939739667;17468.946191855408;21680.98968636264;22410.91173627041;24880.164070125;24081.527807764585;25646.70065916842;30325.849581839615;29809.076773082143;26705.47859938913;27361.875110643698;27174.29715597754;24564.458294840362;24537.51426298829;26401.74545643567;32222.897241165538;36821.521468009334;38403.13387707148;40635.281815972434;46855.771745209524;51708.76575417583;47963.179402321686;46858.0432733717;51374.95840669338;48567.69528642002;50716.708706286365;51704.54118759212;44206.78428208336;44731.010855336106;47290.91164983159
Azerbaijan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1237.3244916770022;1209.2374928495947;676.1515114525199;530.0903798067975;436.19055858198976;397.198116117247;409.21674521678216;505.5605732289311;561.9103017354547;573.8902561721002;655.097432602586;703.6838434327225;763.0730858470854;883.6439965471696;1045.021629870019;1578.4023902960266;2473.0818186353627;3851.437868711722;5574.603802186126;4950.294791423751;5842.805783585763;7189.691229207655;7496.294647682631;7875.756952542878;7891.313147499858;5500.31038244408;3880.7387308955604;4131.618310050547
Burundi;70.34907860648518;71.48727772914138;73.78176494961933;78.90028360033439;86.60319463648081;51.657364677122466;52.47672295617834;55.131686712538176;55.24340418782396;56.07888141787279;70.2431270893069;72.12955294125126;69.63919254698695;85.04700014591225;95.413951050892;114.66358563207964;119.90739092071988;143.2891278368896;155.9176618428981;194.97538606952037;223.4072261814568;229.45818667304414;233.817671036511;243.42380663973302;215.94418627534336;244.56893752096823;248.21013392689738;226.849715785079;210.75009589020488;210.9695202922355;209.0516151611972;210.6438771995305;191.3109129814407;162.63522495353104;157.54300145661702;167.7991716761697;143.8532932872447;159.17552812323245;144.4746121911009;128.69643974392912;135.99844546572467;133.74276892649053;122.43358929636564;112.8493702921952;127.4296648032962;150.50704336876578;165.87941756143027;170.79990047175258;196.2472628313812;204.9446501898397;231.19432564921607;260.4799073381528;265.28560513126854;282.75552520818786;312.74897938701736;300.67655692526256;285.7274420647449;320.08687012089405
Belgium;1273.6916591028862;1350.1976733312285;1438.5232330683982;1535.0237290104324;1701.846275543195;1835.5947655319421;1957.6260804276205;2086.636005446544;2222.3615105191348;2458.081820037733;2780.6961867832715;3099.430157945388;3852.141729332894;4927.195923494803;5764.489883192455;6737.248250693244;7281.8177353643005;8472.054468279099;10344.847132644783;11873.835404482128;12932.860596457727;10679.663892360735;9393.876691930762;8893.586130039954;8502.53859675867;8797.659678861351;12235.184137448216;15216.871017215637;16478.831592157032;16613.516652258022;20710.644343080563;21154.2918385501;23497.72740674225;22403.216818000834;24338.13770181612;28565.919151606613;27701.90328705904;25027.744589068232;25541.674723365584;25444.139258307096;23207.40591100777;23121.60114402464;25052.33939008549;30743.902537720835;35589.68911684018;36967.25918396877;38852.37292774372;44403.76689915233;48424.57559631472;44880.57301962269;44380.17663273076;47702.81189416853;44740.583248147756;46582.66955034117;47351.974178881814;40361.15419075352;41260.977551146825;43323.807336471065
Benin;93.02250899071072;95.57215471474476;94.46453498438206;99.8591138855553;104.33976803988556;110.13279383511292;112.94083638351198;111.95160192523753;116.89506602185992;116.02509434118495;114.5565964669874;112.57008908763694;134.81940793500877;161.98737367143357;174.0141490855613;207.30043974547345;208.6561538305141;218.4543657692004;263.581057550946;327.82167799379243;378.0438983039022;337.97819473918685;322.7776994533702;271.1292402252243;252.86978504478768;244.41099885846882;303.3488978582957;344.5030707917894;346.73603768142243;311.6783038608216;393.68621442353066;385.7536160126378;317.962855286116;411.9260305222826;279.66650432680564;367.38734103259856;387.4329246362509;361.10026979444063;379.44235395447737;403.62370383915527;374.19239415923516;378.7360539764208;418.6985763471029;519.2922846611948;583.4093514306824;601.7999769588747;625.8300919764632;706.0535419006993;820.1513498193465;793.4524300307048;757.6959074093775;825.9427853632152;837.9505000753619;915.3281554082324;943.6865750314007;783.9630778009438;788.5324424156952;829.7972306007936
Burkina Faso;1342193.045434441;71.55818009243704;76.52061139870608;78.372071942432;80.47276674551891;81.72511549550192;82.54563689469425;84.36316494035447;84.73304934687623;86.52021111232351;81.49989868170114;84.28781501396443;99.32676402498659;113.78058433881618;124.35903045152521;152.72822011424412;155.64899796029638;176.78336766629528;225.9416525372329;262.07600964215874;282.6857352995948;254.23078067511108;245.0947024390296;217.99475084283108;193.84324028470937;200.89442251179955;256.76231880859575;291.1319638809047;313.06189109572097;304.85343878146284;351.9793228525358;346.41067244244385;240.96348098040318;244.12707349941638;193.07023629883304;235.83219729976943;249.360294415648;229.49311773538662;255.71823338169975;265.34011555360496;226.47598136697974;235.4912324361865;260.76354131974296;332.3443050656325;371.32308648301176;406.99880706062277;420.5825232924312;475.11001218452606;569.7612784202064;552.745552106433;575.4464526877338;666.8404100554658;673.8228182266349;699.7815370164793;703.8216564617172;575.3144541763115;613.9931274959192;670.7059131119528
Bangladesh;88.69121063011723;97.14273018091524;99.57671365425392;101.26049123462856;99.50386426801613;105.78917034445757;111.65863948311407;121.66209338109729;121.52889768174448;133.57543674774755;138.24796467877871;131.75576318060897;93.02487011224927;117.72581488207987;179.04506497598126;272.7451978071515;138.5922339318281;128.8092611114667;172.41469603967514;196.44262560537305;222.6323509486365;241.8703692166724;215.39325760029462;199.33664540832524;208.53463508422718;239.03922046371073;227.42302556881316;247.07231197506817;263.22279045142733;277.8178390724094;297.567994452354;284.72560585795713;285.09550511666555;291.7144893766252;290.6524528635082;319.60870039828376;382.935763583537;389.52363135922445;395.29746066981494;397.35482187218025;405.60330714176735;402.5981151515633;400.6135745333527;432.7388972407852;460.7579167303898;484.1554070579915;494.05014657654885;541.0651483950866;615.7775410530917;681.1205367690487;757.6717571768936;835.7893401274116;856.3428570274012;951.889453456343;1084.5654298026925;1210.1587693976105;1358.7790288454319;1516.5134230719739
Bulgaria;;;;;;;;;;;;;;;;;;;;;2238.8029578657392;2234.814815731252;2169.0040108968287;1852.8134344280186;1963.5726761827366;1914.5506465879346;2260.427281154497;3132.3013603624604;2511.393062594886;2477.020817959598;2366.5298212861385;1267.734375414851;1211.980878109311;1278.2471734610765;1148.4943993817014;1554.0469305143079;1208.8751029439827;1346.9105528680752;1771.9961442801512;1643.6114192960931;1609.8824517858075;1757.4437798069446;2076.830682378443;2698.624248397049;3363.7996442181293;3869.5294551051097;4490.20177692701;5885.949251979552;7261.754492002771;6969.558556683572;6843.266949758847;7813.806692364325;7378.024730057126;7674.861866833663;7853.332937241465;6993.475543706958;7469.4477029811305;8031.598442456986
Bahrain;;;;;;;;;;;;;;;;;;;;;8537.929379332154;9269.269616529911;9446.158001946013;9421.285654776402;9590.683099065089;8706.725084346994;7041.569470061679;7555.066809448002;7958.679491965374;8030.854579781816;8528.98333446095;9055.59111405318;9082.741168844252;9698.134803607538;10130.413068419994;10376.934887500129;10544.6671254851;10672.183943685848;10076.18778453497;10401.480448892735;13636.346683779782;12868.210997028104;13102.334568265833;14221.99259348858;15846.476409317307;17959.178537354164;19307.995492020527;20977.110526107477;23067.56534651708;19356.6723557874;20722.10388955077;22512.159603871205;23649.366613910057;24737.17178307041;24983.379015335602;22688.8782442968;22560.58127074769;23655.03560240125
